[INFO ] 2017-09-19 10:16:38,895 --pool-5-thread-4-- [com.avalon.ms.service.IPSwapService]  method query index 1 tryTimes 2 
[INFO ] 2017-09-19 10:16:38,895 --pool-5-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 1 tryTimes 2 
[INFO ] 2017-09-19 10:16:38,908 --pool-5-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:38,908 --pool-5-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:38,911 --pool-5-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:38,917 --pool-5-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:38,917 --pool-5-thread-1-- [com.avalon.ms.service.IPSwapService] thread pool-5-thread-1 try times 1 ipIndex 1 changeFlag true 
[INFO ] 2017-09-19 10:16:38,920 --pool-5-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:38,920 --pool-5-thread-2-- [com.avalon.ms.service.IPSwapService] thread pool-5-thread-2 try times 0 ipIndex 1 changeFlag true 
[INFO ] 2017-09-19 10:16:38,921 --pool-5-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:38,922 --pool-5-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:38,925 --pool-5-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:38,926 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 关闭多线程 
[INFO ] 2017-09-19 10:16:48,928 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-2 query execute   
[INFO ] 2017-09-19 10:16:48,929 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:16:48,931 --pool-6-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 1 tryTimes 0 
[INFO ] 2017-09-19 10:16:48,931 --pool-6-thread-2-- [com.avalon.ms.service.IPSwapService]  method query index 1 tryTimes 0 
[INFO ] 2017-09-19 10:16:48,931 --pool-6-thread-3-- [com.avalon.ms.service.IPSwapService]  method query index 1 tryTimes 0 
[INFO ] 2017-09-19 10:16:48,932 --pool-6-thread-4-- [com.avalon.ms.service.IPSwapService]  method query index 1 tryTimes 0 
[INFO ] 2017-09-19 10:16:48,975 --pool-6-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:48,975 --pool-6-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:48,978 --pool-6-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:48,980 --pool-6-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:48,982 --pool-6-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:48,985 --pool-6-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:48,993 --pool-6-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:48,993 --pool-6-thread-4-- [com.avalon.ms.service.IPSwapService] machine change index 0 
[INFO ] 2017-09-19 10:16:48,993 --pool-6-thread-4-- [com.avalon.ms.service.IPSwapService] thread pool-6-thread-4 try times 4 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:48,994 --pool-6-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:48,995 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 关闭多线程 
[INFO ] 2017-09-19 10:16:58,996 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-2 query execute   
[INFO ] 2017-09-19 10:16:58,996 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:16:58,996 --pool-7-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:16:58,996 --pool-7-thread-2-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:16:58,996 --pool-7-thread-3-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:16:58,998 --pool-7-thread-4-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 4 
[INFO ] 2017-09-19 10:16:59,002 --pool-7-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:59,002 --pool-7-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:59,003 --pool-7-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:59,006 --pool-7-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:59,006 --pool-7-thread-3-- [com.avalon.ms.service.IPSwapService] thread pool-7-thread-3 try times 3 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:59,007 --pool-7-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:59,007 --pool-7-thread-2-- [com.avalon.ms.service.IPSwapService] thread pool-7-thread-2 try times 2 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:59,008 --pool-7-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:59,008 --pool-7-thread-4-- [com.avalon.ms.service.IPSwapService] thread pool-7-thread-4 try times 1 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:59,010 --pool-7-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:16:59,016 --pool-7-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:16:59,017 --pool-7-thread-1-- [com.avalon.ms.service.IPSwapService] thread pool-7-thread-1 try times 0 ipIndex 0 changeFlag false 
[INFO ] 2017-09-19 10:16:59,017 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 关闭多线程 
[INFO ] 2017-09-19 10:17:09,019 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-2 query execute   
[INFO ] 2017-09-19 10:17:09,019 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:17:09,020 --pool-8-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:17:09,020 --pool-8-thread-2-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:17:09,021 --pool-8-thread-3-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:17:09,022 --pool-8-thread-4-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
[INFO ] 2017-09-19 10:17:09,040 --pool-8-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:17:09,042 --pool-8-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:17:09,047 --pool-8-thread-4-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:17:09,052 --pool-8-thread-1-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:17:09,054 --pool-8-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:17:09,059 --pool-8-thread-2-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:17:09,062 --pool-8-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] http post request :POST http://localhost:8080/ms/ipswap/query HTTP/1.1 
[INFO ] 2017-09-19 10:17:09,066 --pool-8-thread-3-- [com.avalon.ms.common.util.HttpClientUtil] httpclient close! 
[INFO ] 2017-09-19 10:17:09,066 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 关闭多线程 
[INFO ] 2017-09-19 10:17:19,067 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] thread pool-1-thread-2 query execute   
[INFO ] 2017-09-19 10:17:19,067 --pool-1-thread-2-- [com.avalon.ms.timer.task.QueryTask] 开启多线程执行查询任务，线程数4 
[INFO ] 2017-09-19 10:17:19,068 --pool-9-thread-1-- [com.avalon.ms.service.IPSwapService]  method query index 0 tryTimes 0 
